"Reference Area","Time Period","Sex","Age group","Units of measurement","Observation Value"
"Hungary","2004","Female","15-24 year olds","Percent","99.09564"
"Hungary","2004","All genders","15-24 year olds","Percent","99.00162"
"Hungary","2004","Male","15-24 year olds","Percent","98.91135"
"Indonesia","2014","All genders","15-24 year olds","Percent","99.68022"
"Indonesia","2014","Female","15-24 year olds","Percent","99.67883"
"Indonesia","2014","Male","15-24 year olds","Percent","99.68156"
"Indonesia","2009","Male","15-24 year olds","Percent","99.55003"
"Indonesia","2009","Female","15-24 year olds","Percent","99.39659"
"Indonesia","2009","All genders","15-24 year olds","Percent","99.47374"
"Indonesia","2004","All genders","15-24 year olds","Percent","98.70546"
"Indonesia","2004","Female","15-24 year olds","Percent","98.54216"
"Indonesia","2004","Male","15-24 year olds","Percent","98.86708"
"Iraq","2014","Female","15-24 year olds","Percent","80.59353"
"Iraq","2014","Male","15-24 year olds","Percent","82.84093"
"Iraq","2014","All genders","15-24 year olds","Percent","81.74552"
"Jamaica","2014","Male","15-24 year olds","Percent","93.85559"
"Jamaica","2014","Female","15-24 year olds","Percent","98.75477"
"Jamaica","2014","All genders","15-24 year olds","Percent","96.26246"
"Kazakhstan","2009","All genders","15-24 year olds","Percent","99.83451"
"Kazakhstan","2009","Male","15-24 year olds","Percent","99.80391"
"Kazakhstan","2009","Female","15-24 year olds","Percent","99.86511"
"Kyrgyzstan","2009","Female","15-24 year olds","Percent","99.79959"
"Kyrgyzstan","2009","All genders","15-24 year olds","Percent","99.75185"
"Kyrgyzstan","2009","Male","15-24 year olds","Percent","99.70463"
"Lesotho","2009","Male","15-24 year olds","Percent","74.18503"
"Lesotho","2009","Female","15-24 year olds","Percent","92.09389"
"Lesotho","2009","All genders","15-24 year olds","Percent","83.19441"
"Liberia","2004","Male","15-24 year olds","Percent","63.0036"
"Liberia","2004","All genders","15-24 year olds","Percent","49.15212"
"Liberia","2004","Female","15-24 year olds","Percent","35.03327"
"Libyan Arab Jamahiriya","2014","Female","15-24 year olds","Percent","99.91873"
"Libyan Arab Jamahiriya","2014","All genders","15-24 year olds","Percent","99.93994"
"Libyan Arab Jamahiriya","2014","Male","15-24 year olds","Percent","99.96099"
"Libyan Arab Jamahiriya","2004","Male","15-24 year olds","Percent","99.84897"
"Libyan Arab Jamahiriya","2004","All genders","15-24 year olds","Percent","99.64939"
"Libyan Arab Jamahiriya","2004","Female","15-24 year olds","Percent","99.4417"
"Madagascar","2009","All genders","15-24 year olds","Percent","64.94025"
"Madagascar","2009","Male","15-24 year olds","Percent","65.91478"
"Madagascar","2009","Female","15-24 year olds","Percent","63.96708"
"Martinique","2014","All genders","15-24 year olds","Percent","99.89313"
"Martinique","2014","Female","15-24 year olds","Percent","99.84067"
"Martinique","2014","Male","15-24 year olds","Percent","99.94845"
"Martinique","2004","Male","15-24 year olds","Percent","99.70686"
"Martinique","2004","Female","15-24 year olds","Percent","99.33742"
"Martinique","2004","All genders","15-24 year olds","Percent","99.52312"
"MDG_Caribbean","2014","Male","15-24 year olds","Percent","91.3137734377265"
"MDG_Caribbean","2014","Female","15-24 year olds","Percent","90.5977211704389"
"MDG_Caribbean","2014","All genders","15-24 year olds","Percent","90.9359066602671"
"MDG_Caribbean","2009","All genders","15-24 year olds","Percent","90.9359066602671"
"MDG_Caribbean","2009","Female","15-24 year olds","Percent","90.5977211704389"
"MDG_Caribbean","2009","Male","15-24 year olds","Percent","91.3137734377265"
"MDG_Caribbean","2004","Male","15-24 year olds","Percent","91.2695030219982"
"MDG_Caribbean","2004","All genders","15-24 year olds","Percent","91.5951369169226"
"MDG_Caribbean","2004","Female","15-24 year olds","Percent","91.9827042604499"
"MDG_Caucasus and Central Asia","2014","Female","15-24 year olds","Percent","99.9219786371649"
"MDG_Caucasus and Central Asia","2014","Male","15-24 year olds","Percent","99.8892982081505"
"MDG_Caucasus and Central Asia","2014","All genders","15-24 year olds","Percent","99.9054569490426"
"MDG_Caucasus and Central Asia","2009","All genders","15-24 year olds","Percent","99.9054569490426"
"MDG_Caucasus and Central Asia","2009","Male","15-24 year olds","Percent","99.8892982081505"
"MDG_Caucasus and Central Asia","2009","Female","15-24 year olds","Percent","99.9219786371649"
"MDG_Caucasus and Central Asia","2004","Female","15-24 year olds","Percent","99.8682211756632"
"MDG_Caucasus and Central Asia","2004","Male","15-24 year olds","Percent","99.8218969625412"
"MDG_Caucasus and Central Asia","2004","All genders","15-24 year olds","Percent","99.8451404141788"
"MDG_Developed regions","2014","Male","15-24 year olds","Percent","99.6669216722604"
"MDG_Developed regions","2014","All genders","15-24 year olds","Percent","99.6551867821438"
"MDG_Developed regions","2014","Female","15-24 year olds","Percent","99.643472219328"
"MDG_Developed regions","2009","All genders","15-24 year olds","Percent","99.6551867821438"
"MDG_Developed regions","2009","Female","15-24 year olds","Percent","99.643472219328"
"MDG_Developed regions","2009","Male","15-24 year olds","Percent","99.6669216722604"
"MDG_Developed regions","2004","All genders","15-24 year olds","Percent","99.6136404409863"
"MDG_Developed regions","2004","Female","15-24 year olds","Percent","99.6032342996813"
"MDG_Developed regions","2004","Male","15-24 year olds","Percent","99.6245609650819"
"MDG_Developing regions","2014","All genders","15-24 year olds","Percent","89.3009508055861"
"MDG_Developing regions","2014","Male","15-24 year olds","Percent","91.5547474426266"
"MDG_Developing regions","2014","Female","15-24 year olds","Percent","86.9975512656501"
"MDG_Developing regions","2009","Female","15-24 year olds","Percent","86.9975512656501"
"MDG_Developing regions","2009","Male","15-24 year olds","Percent","91.5547474426266"
"MDG_Developing regions","2009","All genders","15-24 year olds","Percent","89.3009508055861"
"MDG_Developing regions","2004","Male","15-24 year olds","Percent","88.8265597179907"
"MDG_Developing regions","2004","Female","15-24 year olds","Percent","81.1934300794423"
"MDG_Developing regions","2004","All genders","15-24 year olds","Percent","85.0549015158513"
"MDG_Eastern Asia","2014","Male","15-24 year olds","Percent","99.6977702082386"
"MDG_Eastern Asia","2014","Female","15-24 year olds","Percent","99.6083573715085"
"MDG_Eastern Asia","2014","All genders","15-24 year olds","Percent","99.6539003564305"
"MDG_Eastern Asia","2009","All genders","15-24 year olds","Percent","99.6539003564305"
"MDG_Eastern Asia","2009","Male","15-24 year olds","Percent","99.6977702082386"
"MDG_Eastern Asia","2009","Female","15-24 year olds","Percent","99.6083573715085"
"MDG_Eastern Asia","2004","Female","15-24 year olds","Percent","98.5854072493361"
"MDG_Eastern Asia","2004","Male","15-24 year olds","Percent","99.2351901097316"
"MDG_Eastern Asia","2004","All genders","15-24 year olds","Percent","98.9169919884892"
"MDG_Landlocked developing countries","2014","Male","15-24 year olds","Percent","76.9990474509396"
"MDG_Landlocked developing countries","2014","Female","15-24 year olds","Percent","68.2647046734963"
"MDG_Landlocked developing countries","2014","All genders","15-24 year olds","Percent","72.4926326971298"
"MDG_Landlocked developing countries","2009","All genders","15-24 year olds","Percent","72.4926326971298"
"MDG_Landlocked developing countries","2009","Female","15-24 year olds","Percent","68.2647046734963"
"MDG_Landlocked developing countries","2009","Male","15-24 year olds","Percent","76.9990474509396"
"MDG_Landlocked developing countries","2004","Male","15-24 year olds","Percent","74.580192006477"
"MDG_Landlocked developing countries","2004","All genders","15-24 year olds","Percent","68.0413314620597"
"MDG_Landlocked developing countries","2004","Female","15-24 year olds","Percent","62.1720546281361"
"MDG_Latin America","2014","All genders","15-24 year olds","Percent","98.4049868718515"
"MDG_Latin America","2014","Female","15-24 year olds","Percent","98.6569777361804"
"MDG_Latin America","2014","Male","15-24 year olds","Percent","98.1571566052683"
"MDG_Latin America","2009","Male","15-24 year olds","Percent","98.1571566052683"
"MDG_Latin America","2009","Female","15-24 year olds","Percent","98.6569777361804"
"MDG_Latin America","2009","All genders","15-24 year olds","Percent","98.4049868718515"
"MDG_Latin America","2004","All genders","15-24 year olds","Percent","96.6385911318608"
"MDG_Latin America","2004","Female","15-24 year olds","Percent","96.999909255597"
"MDG_Latin America","2004","Male","15-24 year olds","Percent","96.2740022820785"
"MDG_Latin America and the Caribbean","2014","Female","15-24 year olds","Percent","98.130458480733"
"MDG_Latin America and the Caribbean","2014","All genders","15-24 year olds","Percent","97.9179514202271"
"MDG_Latin America and the Caribbean","2014","Male","15-24 year olds","Percent","97.7117459079546"
"MDG_Latin America and the Caribbean","2009","Male","15-24 year olds","Percent","97.7117459079546"
"MDG_Latin America and the Caribbean","2009","All genders","15-24 year olds","Percent","97.9179514202271"
"MDG_Latin America and the Caribbean","2009","Female","15-24 year olds","Percent","98.130458480733"
"MDG_Latin America and the Caribbean","2004","Male","15-24 year olds","Percent","95.9494418099231"
"MDG_Latin America and the Caribbean","2004","Female","15-24 year olds","Percent","96.671035370227"
"MDG_Latin America and the Caribbean","2004","All genders","15-24 year olds","Percent","96.3097656580225"
"MDG_Least developed countries","2014","All genders","15-24 year olds","Percent","73.2753574490258"
"MDG_Least developed countries","2014","Male","15-24 year olds","Percent","77.2887725315487"
"MDG_Least developed countries","2014","Female","15-24 year olds","Percent","69.5211586251673"
"MDG_Least developed countries","2009","Female","15-24 year olds","Percent","69.5211586251673"
"MDG_Least developed countries","2009","Male","15-24 year olds","Percent","77.2887725315487"
"MDG_Least developed countries","2009","All genders","15-24 year olds","Percent","73.2753574490258"
"MDG_Least developed countries","2004","Female","15-24 year olds","Percent","58.4480762713806"
"MDG_Least developed countries","2004","Male","15-24 year olds","Percent","72.0466164904911"
"MDG_Least developed countries","2004","All genders","15-24 year olds","Percent","64.9886004162619"
"MDG_Northern Africa","2014","Female","15-24 year olds","Percent","88.1503167843875"
"MDG_Northern Africa","2014","All genders","15-24 year olds","Percent","90.9617423293493"
"MDG_Northern Africa","2014","Male","15-24 year olds","Percent","93.6740503208714"
"MDG_Northern Africa","2009","All genders","15-24 year olds","Percent","90.9617423293493"
"MDG_Northern Africa","2009","Female","15-24 year olds","Percent","88.1503167843875"
"MDG_Northern Africa","2009","Male","15-24 year olds","Percent","93.6740503208714"
"MDG_Northern Africa","2004","Male","15-24 year olds","Percent","85.4071688032431"
"MDG_Northern Africa","2004","Female","15-24 year olds","Percent","73.6472030973923"
"MDG_Northern Africa","2004","All genders","15-24 year olds","Percent","79.6239439662602"
"MDG_Oceania","2014","All genders","15-24 year olds","Percent","73.9378553855546"
"MDG_Oceania","2014","Female","15-24 year olds","Percent","71.7339895567223"
"MDG_Oceania","2014","Male","15-24 year olds","Percent","76.0307679831249"
"MDG_Oceania","2009","Male","15-24 year olds","Percent","76.0307679831249"
"MDG_Oceania","2009","All genders","15-24 year olds","Percent","73.9378553855546"
"MDG_Oceania","2009","Female","15-24 year olds","Percent","71.7339895567223"
"MDG_Oceania","2004","Female","15-24 year olds","Percent","72.2229954959878"
"MDG_Oceania","2004","Male","15-24 year olds","Percent","76.480771898514"
"MDG_Oceania","2004","All genders","15-24 year olds","Percent","74.4049560875427"
"MDG_Small island developing States","2014","Female","15-24 year olds","Percent","87.3587169673851"
"MDG_Small island developing States","2014","All genders","15-24 year olds","Percent","88.037586504921"
"MDG_Small island developing States","2014","Male","15-24 year olds","Percent","88.7293951464547"
"MDG_Small island developing States","2009","Male","15-24 year olds","Percent","88.7293951464547"
"MDG_Small island developing States","2009","Female","15-24 year olds","Percent","87.3587169673851"
"MDG_Small island developing States","2009","All genders","15-24 year olds","Percent","88.037586504921"
"MDG_Small island developing States","2004","Female","15-24 year olds","Percent","87.802969719091"
"MDG_Small island developing States","2004","Male","15-24 year olds","Percent","88.7399007131155"
"MDG_Small island developing States","2004","All genders","15-24 year olds","Percent","88.2274753782618"
"MDG_South-eastern Asia","2014","All genders","15-24 year olds","Percent","97.947409725812"
"MDG_South-eastern Asia","2014","Female","15-24 year olds","Percent","97.9413927423241"
"MDG_South-eastern Asia","2014","Male","15-24 year olds","Percent","97.9538980281866"
"MDG_South-eastern Asia","2009","Male","15-24 year olds","Percent","97.9538980281866"
"MDG_South-eastern Asia","2009","Female","15-24 year olds","Percent","97.9413927423241"
"MDG_South-eastern Asia","2009","All genders","15-24 year olds","Percent","97.947409725812"
"MDG_South-eastern Asia","2004","All genders","15-24 year olds","Percent","96.3350236555385"
"MDG_South-eastern Asia","2004","Male","15-24 year olds","Percent","96.5916378062466"
"MDG_South-eastern Asia","2004","Female","15-24 year olds","Percent","96.0835307920821"
"MDG_Southern Asia","2014","Male","15-24 year olds","Percent","87.8563104839002"
"MDG_Southern Asia","2014","Female","15-24 year olds","Percent","80.0117084274923"
"MDG_Southern Asia","2014","All genders","15-24 year olds","Percent","84.0782520557863"
"MDG_Southern Asia","2009","All genders","15-24 year olds","Percent","84.0782520557863"
"MDG_Southern Asia","2009","Male","15-24 year olds","Percent","87.8563104839002"
"MDG_Southern Asia","2009","Female","15-24 year olds","Percent","80.0117084274923"
"MDG_Southern Asia","2004","Female","15-24 year olds","Percent","66.1363846850055"
"MDG_Southern Asia","2004","All genders","15-24 year olds","Percent","74.1340337569578"
"MDG_Southern Asia","2004","Male","15-24 year olds","Percent","81.5112113245293"
"MDG_Southern Asia excluding India","2014","All genders","15-24 year olds","Percent","79.0478604258019"
"MDG_Southern Asia excluding India","2014","Female","15-24 year olds","Percent","75.6750707730425"
"MDG_Southern Asia excluding India","2014","Male","15-24 year olds","Percent","82.3708855034073"
"MDG_Southern Asia excluding India","2009","Male","15-24 year olds","Percent","82.3708855034073"
"MDG_Southern Asia excluding India","2009","All genders","15-24 year olds","Percent","79.0478604258019"
"MDG_Southern Asia excluding India","2009","Female","15-24 year olds","Percent","75.6750707730425"
"MDG_Southern Asia excluding India","2004","Female","15-24 year olds","Percent","62.1513183719605"
"MDG_Southern Asia excluding India","2004","Male","15-24 year olds","Percent","74.602991410988"
"MDG_Southern Asia excluding India","2004","All genders","15-24 year olds","Percent","68.3435583291589"
"MDG_Sub-Saharan Africa","2014","Female","15-24 year olds","Percent","66.3713752726311"
"MDG_Sub-Saharan Africa","2014","Male","15-24 year olds","Percent","76.8544668307806"
"MDG_Sub-Saharan Africa","2014","All genders","15-24 year olds","Percent","71.4158853378936"
"MDG_Sub-Saharan Africa","2009","All genders","15-24 year olds","Percent","71.4158853378936"
"MDG_Sub-Saharan Africa","2009","Female","15-24 year olds","Percent","66.3713752726311"
"MDG_Sub-Saharan Africa","2009","Male","15-24 year olds","Percent","76.8544668307806"
"MDG_Sub-Saharan Africa","2004","Male","15-24 year olds","Percent","75.293145898742"
"MDG_Sub-Saharan Africa","2004","Female","15-24 year olds","Percent","61.6376566478905"
"MDG_Sub-Saharan Africa","2004","All genders","15-24 year olds","Percent","68.1501943836185"
"MDG_Western Asia","2014","Female","15-24 year olds","Percent","92.806527987393"
"MDG_Western Asia","2014","Male","15-24 year olds","Percent","95.9427053603459"
"MDG_Western Asia","2014","All genders","15-24 year olds","Percent","94.4331636029761"
"MDG_Western Asia","2009","Male","15-24 year olds","Percent","95.9427053603459"
"MDG_Western Asia","2009","All genders","15-24 year olds","Percent","94.4331636029761"
"MDG_Western Asia","2009","Female","15-24 year olds","Percent","92.806527987393"
"MDG_Western Asia","2004","Female","15-24 year olds","Percent","87.731164670147"
"MDG_Western Asia","2004","All genders","15-24 year olds","Percent","91.641775157462"
"MDG_Western Asia","2004","Male","15-24 year olds","Percent","95.4363695952553"
"Mexico","2014","Male","15-24 year olds","Percent","98.92221"
"Mexico","2014","All genders","15-24 year olds","Percent","99.00004"
"Mexico","2014","Female","15-24 year olds","Percent","99.07946"
"Mexico","2009","Female","15-24 year olds","Percent","98.3816"
"Mexico","2009","All genders","15-24 year olds","Percent","98.52466"
"Mexico","2009","Male","15-24 year olds","Percent","98.67003"
"Mexico","2004","All genders","15-24 year olds","Percent","97.56444"
"Mexico","2004","Male","15-24 year olds","Percent","97.5173"
"Mexico","2004","Female","15-24 year olds","Percent","97.60793"
"Moldova","2014","Male","15-24 year olds","Percent","100"
"Moldova","2014","Female","15-24 year olds","Percent","100"
"Moldova","2014","All genders","15-24 year olds","Percent","100"
"Morocco","2009","All genders","15-24 year olds","Percent","79.47369"
"Morocco","2009","Female","15-24 year olds","Percent","72.14524"
"Morocco","2009","Male","15-24 year olds","Percent","86.72862"
"Morocco","2004","Male","15-24 year olds","Percent","80.80267"
"Morocco","2004","All genders","15-24 year olds","Percent","70.45759"
"Morocco","2004","Female","15-24 year olds","Percent","60.49289"
"Mozambique","2009","Male","15-24 year olds","Percent","79.84044"
"Mozambique","2009","All genders","15-24 year olds","Percent","67.14964"
"Mozambique","2009","Female","15-24 year olds","Percent","56.54005"
"Myanmar","2014","Male","15-24 year olds","Percent","96.30054"
"Myanmar","2014","All genders","15-24 year olds","Percent","96.23852"
"Myanmar","2014","Female","15-24 year olds","Percent","96.17681"
"New Caledonia","2014","Female","15-24 year olds","Percent","99.8002"
"New Caledonia","2014","Male","15-24 year olds","Percent","99.55377"
"New Caledonia","2014","All genders","15-24 year olds","Percent","99.67415"
"Occupied Palestinian Territory","2014","All genders","15-24 year olds","Percent","99.36351"
"Occupied Palestinian Territory","2014","Male","15-24 year olds","Percent","99.40579"
"Occupied Palestinian Territory","2014","Female","15-24 year olds","Percent","99.31944"
"Occupied Palestinian Territory","2009","Female","15-24 year olds","Percent","99.23354"
"Occupied Palestinian Territory","2009","Male","15-24 year olds","Percent","99.23298"
"Occupied Palestinian Territory","2009","All genders","15-24 year olds","Percent","99.23326"
"Occupied Palestinian Territory","2004","All genders","15-24 year olds","Percent","98.98723"
"Occupied Palestinian Territory","2004","Male","15-24 year olds","Percent","99.14906"
"Occupied Palestinian Territory","2004","Female","15-24 year olds","Percent","98.81675"
"Oman","2014","Male","15-24 year olds","Percent","99.1306"
"Oman","2014","All genders","15-24 year olds","Percent","99.09432"
"Oman","2014","Female","15-24 year olds","Percent","99.05662"
"Pakistan","2009","Female","15-24 year olds","Percent","61.46266"
"Pakistan","2009","All genders","15-24 year olds","Percent","70.67627"
"Pakistan","2009","Male","15-24 year olds","Percent","79.14432"
"Palau","2004","Male","15-24 year olds","Percent","99.4279"
"Palau","2004","Female","15-24 year olds","Percent","98.5362"
"Palau","2004","All genders","15-24 year olds","Percent","98.9898"
"Papua New Guinea","2014","All genders","15-24 year olds","Percent","66.67899"
"Papua New Guinea","2014","Female","15-24 year olds","Percent","64.05813"
"Papua New Guinea","2014","Male","15-24 year olds","Percent","69.13374"
"Paraguay","2014","Male","15-24 year olds","Percent","98.90615"
"Paraguay","2014","Female","15-24 year olds","Percent","98.47231"
"Paraguay","2014","All genders","15-24 year olds","Percent","98.68621"
"Paraguay","2009","All genders","15-24 year olds","Percent","98.49729"
"Paraguay","2009","Female","15-24 year olds","Percent","98.98827"
"Paraguay","2009","Male","15-24 year olds","Percent","98.04145"
"Peru","2014","All genders","15-24 year olds","Percent","98.97753"
"Peru","2014","Male","15-24 year olds","Percent","99.15706"
"Peru","2014","Female","15-24 year olds","Percent","98.78966"
"Peru","2004","Female","15-24 year olds","Percent","95.65602"
"Peru","2004","Male","15-24 year olds","Percent","97.80303"
"Peru","2004","All genders","15-24 year olds","Percent","96.75563"
"Poland","2014","All genders","15-24 year olds","Percent","99.99997"
"Poland","2014","Female","15-24 year olds","Percent","99.99998"
"Poland","2014","Male","15-24 year olds","Percent","99.99997"
"Poland","2004","All genders","15-24 year olds","Percent","99.99986"
"Poland","2004","Female","15-24 year olds","Percent","99.99987"
"Poland","2004","Male","15-24 year olds","Percent","99.99984"
"Puerto Rico","2004","All genders","15-24 year olds","Percent","88.69657"
"Puerto Rico","2004","Female","15-24 year olds","Percent","89.30752"
"Puerto Rico","2004","Male","15-24 year olds","Percent","88.09477"
"Qatar","2014","Female","15-24 year olds","Percent","99.64683"
"Qatar","2014","Male","15-24 year olds","Percent","98.38078"
"Qatar","2014","All genders","15-24 year olds","Percent","98.71272"
"Qatar","2009","All genders","15-24 year olds","Percent","97.75925"
"Qatar","2009","Male","15-24 year olds","Percent","97.70183"
"Qatar","2009","Female","15-24 year olds","Percent","97.94622"
"Qatar","2004","Female","15-24 year olds","Percent","97.54001"
"Qatar","2004","Male","15-24 year olds","Percent","94.88588"
"Qatar","2004","All genders","15-24 year olds","Percent","95.92071"
"Réunion","2014","All genders","15-24 year olds","Percent","99.82759"
"Réunion","2014","Male","15-24 year olds","Percent","99.72244"
"Réunion","2014","Female","15-24 year olds","Percent","99.93624"
